"","new_window","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","var_roll_belt","avg_pitch_belt","var_pitch_belt","avg_yaw_belt","var_yaw_belt","var_accel_arm","avg_roll_arm","var_roll_arm","avg_pitch_arm","var_pitch_arm","avg_yaw_arm","var_yaw_arm","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","var_yaw_dumbbell","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","var_roll_forearm","avg_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","var_yaw_forearm","classe"
"506","yes",-1.021178,-0.15095,NA,-0.263336,-1.362688,NA,-3.1,20,-1,-3.6,19,-1,0.5,1,0,0.2,123.7,0.2,26.2,0,-3.3,0.02,22.4906,138.5102,12.3384,-6.2506,56.6116,97.6898,167.3847,0.33469,-0.96912,-1.00277,1.14319,-0.51079,0.3602,13.3,113,22,-13.5,69.3,6,26.8,43.7,16,0.1686,0.5687,NA,0.1918,-0.4092,NA,50.7,139.7,0.2,16.5,96.3,0.2,34.25,43.41,0,9,2.3087,-12.4734,167.218,31.4153,61.4059,120.8315,80.3487,-0.9733,28.5654,NA,0.7345,-4.5014,NA,79.8,168,-1,2.7,-176,-1,77.1,344,0,29,6.90306,101.76122,343.29826,28.98735,714.4527,88.22653,1917.02116,"A"
"532","yes",-1.022813,0.988872,NA,0.338703,-1.717824,NA,-2.4,20,-1,-3.6,19,-1,1.29,1,0,0.2,124,0,26.4,0.1,-3.1,0.15,26.3629,160.78,16.3384,14.099,95.0007,106.304,231.6873,-1.1788,-0.25119,-0.66019,0.42273,-0.9091,0.68669,33.3,122,24,2.3,69.7,6,30.98,52.3,18,-0.7532,0.4357,NA,0.1972,-0.6206,NA,48.4,142,-0.8,10.9,92.4,-0.8,37.48,49.57,0,8,3.122,-4.6732,238.3449,30.9814,90.0508,122.1386,107.8344,-0.9255,-0.4116,NA,0.5886,0.9145,NA,49.5,99.4,-0.9,7.9,74.1,-0.9,41.6,25.3,0,35,4.87184,93.432,5.69814,22.2734,160.34147,81.068,54.21038,"A"
"552","yes",1.775249,-1.473052,NA,-1.561715,-0.7767,NA,-1.9,20,1.8,-3.1,19,1.8,1.2,1,0,0.2,123.9,0.1,25.8,0,-2.2,0.1,70.7788,94.895,826.9077,46.12,34.9083,18.6505,1585.8741,-1.40229,-1.05177,-1.07436,-0.1742,0.66646,-0.5811,55.1,96,45,35.7,-22.3,18,19.4,118.3,27,0.5158,-0.1238,NA,0.6445,-0.3924,NA,49.1,141.3,0.5,14.5,106,0.5,34.66,35.3,0,9,0.6564,-8.3586,197.9849,27.9465,60.4673,124.7751,76.0281,-1.3428,-1.3231,NA,0.2145,0.7607,NA,77.9,174,-1.3,38.1,-170,-1.3,39.8,344,0,28,12.30513,-48.125,14172.21474,56.5225,177.47307,-36.14,13048.00297,"A"
"581","yes",-1.227048,-0.386848,NA,0.487345,1.276157,NA,-2.9,20,-1.2,-4,19,-1.2,1.13,1,0,0.2,122.3,0.2,26,0,-3.5,0.15,88.7071,-24.3709,26066.5754,40.0309,297.4318,106.4673,1823.7359,-1.52038,0.25093,-0.59212,0.31997,-1.22675,0.82348,66.6,142,39,20,1.6,8,46.6,140.39,31,-0.6157,-0.4458,NA,0.3489,-0.4018,NA,45.7,139.1,-0.6,17.7,111.1,-0.6,28.05,27.96,0,7,0.9663,-4.248,59.3049,29.3729,50.0471,126.2594,43.2251,-1.5186,0.8105,NA,0.036,-1.498,NA,80.2,175,-1.5,12,-167,-1.5,68.2,342,0,34,14.9037,59.22364,9066.37702,43.73273,582.30039,48.66182,7735.10129,"A"
"598","yes",-1.057741,-2.060105,NA,0.000748,0.189082,NA,-3.8,20,-1.1,-4.6,19,-1.1,0.83,1,0,0.3,122.5,0.3,25.9,0,-4.2,0.07,88.3018,35.0659,8753.2832,54.6023,232.023,29.4498,4681.9522,-1.17207,-1.31581,-1.26261,0.36073,0.75488,-0.34977,81.4,141,45,34.1,-25.9,15,47.3,166.9,30,0.9826,-0.3877,NA,-0.6322,-0.0084,NA,51.3,143,1,-1.2,99.1,1,52.5,43.92,0,8,1.5095,-3.4977,269.0353,31.357,108.0236,121.2887,109.5621,-0.9372,-1.7065,NA,-0.3734,-0.4153,NA,71.7,178,-0.9,13.6,-171,-0.9,58.1,349,0,30,19.53224,17.63636,16420.2833,47.34773,321.05186,18.67727,14316.28877,"A"
"645","yes",-1.536456,-2.060105,NA,-0.244053,-0.189082,NA,-3.4,20,-1.5,-4.1,19,-1.5,0.7,1,0,0.3,123,0,26.1,0,-3.7,0.06,55.463,-72.5273,306.0923,32.6318,25.4836,-105.7773,914.0074,2.37332,-0.94894,-0.99452,-1.74575,0.70488,0.60601,39.1,-44.2,30,17.2,-135,6,21.9,90.8,24,-0.9212,-0.8563,NA,0.111,-0.3521,NA,60.5,137.1,-0.9,15.1,92.8,-0.9,45.43,44.3,0,6,2.5729,4.3351,245.2082,35.5386,135.1153,117.7294,136.9908,-1.5432,5.2852,NA,0.3405,-2.4009,NA,64.2,177,-1.5,12.3,-175,-1.5,51.9,352,0,29,9.92548,94.40909,7360.71247,33.94773,391.77279,80.72273,6786.67901,"A"
"749","yes",-1.293601,20.819259,NA,0.187107,-4.683414,NA,177,19,-1.3,168,18,-1.3,9,1,0,0,127.6,1.3,-41.5,1,172.2,8.05,0.6809,-112.6957,194.0095,48.483,58.7475,86.0723,122.4747,-1.37753,-1.32036,-0.55335,-0.1533,-0.11904,0.16521,59.6,103,25,35.7,67.9,22,23.9,35.1,3,0.3533,0.3865,NA,-0.2364,-0.8496,NA,-22.6,-98,0.4,-30.8,-110.3,0.4,8.15,12.28,0,19,0.2294,46.507,8.1625,-26.3241,2.7925,-102.5324,8.5601,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,13,0.40518,0,0,0,0,0,0,"A"
"772","yes",-1.423943,40,NA,0.097898,-6.324555,NA,168,19,-1.4,165,18,-1.4,3,1,0,0,129.8,0.2,-39.9,0.1,166.4,1.32,0.9942,-77.6075,68.5238,24.5125,41.6565,105.15,0.4897,-1.35445,1.07404,-0.90919,0.10802,-0.6875,0.26739,35.2,106,25,15,103,22,20.2,3,3,3.528,-0.2416,NA,0.8999,-0.7245,NA,-21.4,-101.3,3.5,-29.4,-109.2,3.5,7.96,7.95,0,19,0.2506,44.935,4.3359,-25.7831,1.8273,-104.271,4.6426,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,13,0.50705,0,0,0,0,0,0,"A"
"832","yes",NA,NA,NA,NA,NA,NA,163,18,NA,163,18,NA,0,0,NA,0,129,0,-40.4,0,163,0,0,34.7891,99.6565,25.0935,47.3033,140.8913,89.6546,-1.20299,-0.57011,NA,0.15431,-0.75313,NA,37.4,152,29,14.5,120,29,22.9,32,0,-0.6725,-0.3902,NA,-0.0096,0.4432,NA,-27.9,-101.9,-0.7,-30.8,-108,-0.7,2.93,6.09,0,18,0.0217,41.5151,2.2535,-29.3373,0.5478,-105.1369,1.9698,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,13,0.22077,0,0,0,0,0,0,"A"
"872","yes",NA,16.779401,NA,NA,4.233256,NA,161,19,NA,161,18,NA,0,1,NA,0,129.5,0.3,-39.8,0,161,0,0,113.6308,5334.6911,70.7026,8.6571,118.8462,322.2778,0.13608,-1.07656,NA,-1.16438,0.46636,NA,73.2,154,29,63.5,97.1,29,9.7,56.9,0,0.0486,-0.4767,NA,-0.465,0.2211,NA,-28,-104.5,0,-32.7,-110.5,0,4.71,6,0,18,0.0256,37.8567,4.4196,-30.0813,1.2008,-107.6948,1.9538,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,13,0.10256,0,0,0,0,0,0,"A"
"893","yes",2.912541,NA,NA,-2.180288,NA,NA,161,18,2.9,160,18,2.9,1,0,0,0.1,129.2,0.2,-39.6,0,160.9,0.09,0.2946,-124.0189,407.3266,59.4453,68.4071,-67.6792,24988.9528,-1.30132,-2.05827,2.91254,-0.10585,0.23528,2.18029,72.4,180,30,54.5,-179,29,17.9,359,1,-0.1713,-0.0858,NA,0.3887,-0.4002,NA,-26.8,-103.7,-0.2,-32.7,-111.9,-0.2,5.89,8.17,0,18,0.2366,37.6677,8.7351,-30.1855,2.7914,-107.738,3.7794,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,12,0.41727,0,0,0,0,0,0,"A"
"925","yes",-1.5409,0.89948,NA,0.397334,-0.92471,NA,-2.8,19,-1.5,-3.8,17,-1.5,1.03,2,0,0.2,117.8,0.6,17.6,0,-3.3,0.14,67.8149,-80.3078,131.7895,-16.4449,59.4863,-78.9784,1289.5653,-1.16621,-1.31257,-1.64045,0.67525,0.37715,-0.2209,-2.6,-12.2,31,-23.7,-119,9,21.07,106.8,22,3.4777,1.1935,NA,1.5964,-1.3853,NA,129.8,145.1,3.5,-103,-40.5,3.5,232.79,185.63,0,3,0.9302,14.5975,1602.0599,-8.5907,2025.7415,95.3649,2614.5434,-1.0858,-1.1243,NA,0.4754,-0.4578,NA,20.4,-70,-1.1,1.3,-114,-1.1,19.1,44,0,20,22.63294,6.22824,90.97552,9.82294,40.92623,-86.7,207.9136,"A"
"947","yes",2.603688,1.488647,NA,1.918416,0.290885,NA,166,19,2.6,161,17,2.6,5,2,0,0.2,128.4,1,-40.1,0.6,161.8,2.09,0.0233,-89.2605,62.4634,34.686,50.8903,-158.093,26.8959,-1.38765,-1.32408,43,-0.04186,0.17066,-6.55744,45.5,-149,28,23.2,-166,27,22.3,17,1,0.0967,1.2267,NA,0.4895,-0.3781,NA,-26.5,-103.5,0.1,-33.7,-116.3,0.1,7.18,12.74,0,17,0.1949,35.0093,7.6391,-30.7008,2.595,-109.5516,6.2909,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,29,58.46733,0,0,0,0,0,0,"A"
"969","yes",-0.317284,7.120083,NA,0.679307,2.059648,NA,166,20,-0.3,161,16,-0.3,5,4,0,0.4,126.2,0.3,-41.3,0.4,163.2,2.22,1.3833,-59.382,87.7289,13.3562,23.8886,-137.46,49.0698,-1.02343,-1.44959,-1.21987,0.14007,-0.29093,0.06517,22.7,-128,28,5.7,-149,24,17.04,21,4,0.1105,-0.0308,NA,-0.7291,0.5929,NA,-26.6,-101.4,0.1,-37.6,-114.8,0.1,11.03,13.45,0,19,0.3367,35.0907,8.3118,-31.149,6.3422,-109.1437,8.8647,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,41,27.52204,0,0,0,0,0,0,"A"
"1034","yes",-1.443997,1.563592,NA,0.398721,-0.369243,NA,170,19,-1.4,160,17,-1.4,10,2,0,0.2,126.8,1.8,-41.9,3.3,164.3,14.78,0.0587,9.6276,120.0253,9.5557,20.7205,-133.3673,8.1122,-1.03671,1.71204,12.78655,0.45193,-1.37664,-3.77702,18.5,-130,25,3.7,-142,24,14.83,12,1,-0.5075,-0.6866,NA,-0.4005,0.7197,NA,-21,-89.9,-0.5,-38.1,-113.7,-0.5,17.1,23.82,0,16,1.2364,41.8304,53.7456,-29.4179,17.2993,-104.5595,53.6048,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,42,3.07058,0,0,0,0,0,0,"A"
"1076","yes",-1.348439,-2.01825,NA,0.009774,0.260179,NA,163,19,-1.3,159,18,-1.3,4,1,0,0.3,129.6,1.3,-41.7,1.4,160.6,1.64,0.4215,76.35,166.6072,55.025,62.8828,150.4583,81.5301,-1.15656,-0.96646,-0.23849,-0.04254,0.60813,0.24526,68.7,169,27,41.4,140,24,27.3,29,3,0.8738,0.7673,NA,-0.8675,0.3403,NA,-27.5,-96.7,0.9,-36.6,-114.2,0.9,9.06,17.53,0,18,0.2961,39.8475,14.5165,-30.6632,4.5795,-105.6139,14.6339,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,42,5.52482,0,0,0,0,0,0,"A"
"1132","yes",-0.526626,NA,NA,0.213506,NA,NA,163,17,-0.5,161,17,-0.5,2,0,0,0,124.9,0.1,-41.3,0.1,161.7,0.38,0.4568,-112.9737,318.7677,55.8702,76.1528,-143.2456,13.6886,-1.33577,-0.6798,-0.7622,0.05671,-0.59209,0.20027,70.3,-138,26,42,-152,24,28.3,14,2,-0.5864,1.3662,NA,-0.4745,-0.0817,NA,-27.3,-96.4,-0.6,-33.3,-108.6,-0.6,6.01,12.23,0,17,0.2538,44.4758,10.0762,-29.9294,2.5546,-102.142,5.1859,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,41,6.99812,0,0,0,0,0,0,"A"
"1253","yes",-1.075175,-1.830899,NA,0,0.508639,NA,173,18,-1.1,171,17,-1.1,2,1,0,0.2,121.2,0.1,-43.6,0,172,0.54,19.9419,8.7402,5.7863,28.5114,798.9864,-14.8124,91.9907,-1.34317,-0.68637,-1.08282,-0.00051,-0.59605,0.16094,73.3,-2,23,-16.2,-36.1,7,89.5,34.1,16,2.6808,-0.479,NA,-1.4383,-0.4906,NA,-24.8,-80.8,2.7,-37.6,-96.7,2.7,12.8,15.91,0,17,0.374,60.7805,24.6291,-29.1916,7.3541,-87.5747,15.226,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,50,6.75552,0,0,0,0,0,0,"A"
"1276","yes",-1.736374,11.094417,NA,-0.587156,3.54848,NA,173,18,-1.7,172,17,-1.7,1,1,0,0.1,121,0,-43.6,0,172.6,0.24,2.306,-68.528,975.77,75.6591,31.2011,-131.3659,1566.007,-1.28143,0.18341,1.45995,-0.28659,1.25863,-1.15509,83.1,-38.6,28,66.4,-163,22,16.7,124.4,6,-1.2685,-0.3441,NA,-0.2312,0.6379,NA,-19.8,-88.1,-1.3,-28.3,-96.2,-1.3,8.48,8.08,0,21,1.7267,58.5879,4.4247,-23.4368,6.3931,-92.7001,3.8939,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,40,30.70772,0,0,0,0,0,0,"A"
"1318","yes",-1.961739,NA,NA,0.349066,NA,NA,174,17,-2,173,17,-2,1,0,0,0,120.3,0.2,-43.7,0,173.4,0.25,27.957,-14.1967,1979.0056,69.6479,278.0264,-74.4188,2928.8424,-0.55865,-1.04613,-0.89825,-0.89149,-0.81695,-0.74676,85.5,-29.1,27,32,-175,11,53.5,145.9,16,0.8941,-0.9684,NA,-0.6176,-0.2038,NA,-25.3,-84.3,0.9,-38,-100.1,0.9,12.69,15.74,0,18,0.9291,55.9497,28.6377,-30.1939,7.0977,-91.5422,19.4986,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,48,21.3883,0,0,0,0,0,0,"A"
"1340","yes",-1.908453,7.259947,NA,0.422463,2.989812,NA,174,18,-1.9,173,17,-1.9,1,1,0,0.1,120.5,0.3,-43.8,0,173.4,0.25,46.4364,-57.28,1317.6385,59.1489,364.768,-47.6133,17838.8785,-0.23715,-0.67385,-1.43002,-1.03668,1.01961,-0.506,79,180,28,14.1,-179,10,64.9,359,18,0.4607,-0.2748,NA,-1.0096,0.1746,NA,-19.2,-92.2,0.5,-31.6,-102.8,0.5,12.33,10.55,0,20,0.9222,52.9749,5.6201,-23.2558,9.0157,-98.1097,6.7594,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,43,2.7404,0,0,0,0,0,0,"A"
"1435","yes",0.20153,0.20153,NA,1.481339,1.481339,NA,174,18,0.2,173,17,0.2,1,1,0,0.2,121,0,-43.8,0,173.2,0.17,32.6788,-33.1372,1017.1086,30.503,1209.9995,-71.3256,4441.6405,-1.54727,7.79477,-1.28462,-0.16891,2.16019,-0.3917,72.6,178,27,-22.1,-177,9,94.7,355,18,0.5684,-0.7804,NA,-1.0255,-0.1499,NA,-21.5,-89,0.6,-39.3,-107,0.6,17.79,18.02,0,17,1.4086,52.1646,24.8106,-27.832,20.0249,-96.3146,19.5453,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,41,1.08749,0,0,0,0,0,0,"A"
"1458","yes",-2.108108,-0.59175,NA,0,1.200185,NA,174,18,-2.1,173,17,-2.1,1,1,0,0.2,121,0,-43.9,0,173.5,0.26,59.1051,6.874,69.0401,-13.017,111.5513,-37.8325,6.9971,-0.15989,-1.00782,-0.79824,0.91711,-0.41227,-0.87704,12.4,-34.3,27,-23.6,-43.2,5,36,8.9,22,0.9052,0.1236,NA,-0.085,-0.6474,NA,-21.9,-86.2,0.9,-40,-106.1,0.9,18.15,19.86,0,16,0.1949,51.7265,42.6654,-31.4588,12.6478,-94.5312,21.7277,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,48,20.12756,0,0,0,0,0,0,"A"
